Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Bin name,Incoming (not editable),Unavailable (not editable),Committed (not editable),Available (not editable),On hand (current),On hand (new)
calculadora-casio-fx-991es-plus-pk-2da-edicion,Calculadora CASIO FX-991ES PLUS PK 2DA EDICION,color,Negro,,,,,FX-991ES BK 2DA,,,Sucursal Santa Ana Independencia,,not stocked,not stocked,not stocked,not stocked,not stocked,
calculadora-casio-fx-991es-plus-pk-2da-edicion,Calculadora CASIO FX-991ES PLUS PK 2DA EDICION,color,Negro,,,,,FX-991ES BK 2DA,,,Sucursal Santa Ana Zarzamora,,not stocked,not stocked,not stocked,not stocked,not stocked,
mouse-pad-logitech-desk-mat-956,Mouse Pad Logitech Desk Mat 956,Color,Rosa,,,,,956-000048,,,Sucursal Chalchuapa,,0,0,0,0,0,
mouse-pad-logitech-desk-mat-956,Mouse Pad Logitech Desk Mat 956,Color,Rosa,,,,,956-000048,,,Sucursal Santa Ana Independencia,,0,0,0,0,0,
mouse-pad-logitech-desk-mat-956,Mouse Pad Logitech Desk Mat 956,Color,Rosa,,,,,956-000048,,,Sucursal Santa Ana Zarzamora,,0,0,0,0,0,
pasta-termica-thermal-grizzly-aeronaut-10ml-26g,Pasta Termica Thermal Grizzly Aeronaut,Tamaño,26 gr,,,,,TG-A-100-R 10ML/26G,,,Sucursal Chalchuapa,,0,0,0,0,0,
pasta-termica-thermal-grizzly-aeronaut-10ml-26g,Pasta Termica Thermal Grizzly Aeronaut,Tamaño,26 gr,,,,,TG-A-100-R 10ML/26G,,,Sucursal Santa Ana Independencia,,0,0,0,0,0,
pasta-termica-thermal-grizzly-aeronaut-10ml-26g,Pasta Termica Thermal Grizzly Aeronaut,Tamaño,26 gr,,,,,TG-A-100-R 10ML/26G,,,Sucursal Santa Ana Zarzamora,,0,0,0,0,0,
pasta-termica-thermal-grizzly-aeronaut-10ml-26g,Pasta Termica Thermal Grizzly Aeronaut,Tamaño,7.8 gr,,,,,TG-A-030-R 3ML/7.8G,,,Sucursal Chalchuapa,,0,0,0,0,0,
pasta-termica-thermal-grizzly-aeronaut-10ml-26g,Pasta Termica Thermal Grizzly Aeronaut,Tamaño,7.8 gr,,,,,TG-A-030-R 3ML/7.8G,,,Sucursal Santa Ana Independencia,,0,0,0,1,1,
pasta-termica-thermal-grizzly-aeronaut-10ml-26g,Pasta Termica Thermal Grizzly Aeronaut,Tamaño,7.8 gr,,,,,TG-A-030-R 3ML/7.8G,,,Sucursal Santa Ana Zarzamora,,0,0,0,0,0,
impresora-plotter-hp-desingjet-t850-2y9h2a-mfp-36-plg,Impresora Plotter HP DESINGJET T850 2Y9H2A MFP 36 PLG,Title,Default Title,,,,,T850,,,Sucursal Chalchuapa,,0,0,0,1,1,
impresora-plotter-hp-desingjet-t850-2y9h2a-mfp-36-plg,Impresora Plotter HP DESINGJET T850 2Y9H2A MFP 36 PLG,Title,Default Title,,,,,T850,,,Sucursal Santa Ana Independencia,,0,0,0,0,0,
impresora-plotter-hp-desingjet-t850-2y9h2a-mfp-36-plg,Impresora Plotter HP DESINGJET T850 2Y9H2A MFP 36 PLG,Title,Default Title,,,,,T850,,,Sucursal Santa Ana Zarzamora,,0,0,0,0,0,
